Asset No	Capitalized On	Asset Description	S/N	Barcode Name
100000-0	11/11/2019	Land GIIC DG/1 Land Size 776,654 sqm	-	100000-0 / Land GIIC DG/1 Land Size 776,654 sqm
120000-0		Sealer Working Area	-	120000-0 / Sealer Working Area
120001-0		NVH Working Area	-	120001-0 / NVH Working Area
120002-0		ED sanding Working Area	-	120002-0 / ED sanding Working Area
120003-0		Black Tape Working Area	-	120003-0 / Black Tape Working Area
120004-0		Touchup Working Area	-	120004-0 / Touchup Working Area
120005-0		Inspection Working Area	-	120005-0 / Inspection Working Area
300000-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ara Blue)	B 2970 SJA	300000-0 / All New Tucson GLS GAS A/T 4X2 (Ara Blue)
300001-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ara Blue)	B 2976 SJA	300001-0 / All New Tucson GLS GAS A/T 4X2 (Ara Blue)
300002-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ara Blue)	B 2978 SJA	300002-0 / All New Tucson GLS GAS A/T 4X2 (Ara Blue)
300003-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ruby Wine)	B 2982 SJA	300003-0 / All New Tucson GLS GAS A/T 4X2 (Ruby Wine)
300004-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ruby Wine)	B 2960 SJA	300004-0 / All New Tucson GLS GAS A/T 4X2 (Ruby Wine)
300005-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ruby Wine)	B 2958 SJA	300005-0 / All New Tucson GLS GAS A/T 4X2 (Ruby Wine)
300006-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ruby Wine)	B 2944 SJA	300006-0 / All New Tucson GLS GAS A/T 4X2 (Ruby Wine)
300007-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ruby Wine)	B 2986 SJA	300007-0 / All New Tucson GLS GAS A/T 4X2 (Ruby Wine)
300008-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ruby Wine)	B 2966 SJA	300008-0 / All New Tucson GLS GAS A/T 4X2 (Ruby Wine)
300009-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pepper Gray)	B 2991 SJA	300009-0 / All New Tucson GLS GAS A/T 4X2 (Pepper Gray)
300010-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pepper Gray)	B 2969 SJA	300010-0 / All New Tucson GLS GAS A/T 4X2 (Pepper Gray)
300011-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pepper Gray)	B 2975 SJA	300011-0 / All New Tucson GLS GAS A/T 4X2 (Pepper Gray)
300012-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Phantom Black)	B 2967 SJA	300012-0 / All New Tucson GLS GAS A/T 4X2 (Phantom Black)
300013-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Phantom Black)	B 2984 SJA	300013-0 / All New Tucson GLS GAS A/T 4X2 (Phantom Black)
300014-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pure White)	B 2979 SJA	300014-0 / All New Tucson GLS GAS A/T 4X2 (Pure White)
300015-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pure White)	B 2031 SJB	300015-0 / All New Tucson GLS GAS A/T 4X2 (Pure White)
300016-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pure White)	B 2983 SJA	300016-0 / All New Tucson GLS GAS A/T 4X2 (Pure White)
300017-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pure White)	B 2993 SJA	300017-0 / All New Tucson GLS GAS A/T 4X2 (Pure White)
300018-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pure White)	B 2985 SJA	300018-0 / All New Tucson GLS GAS A/T 4X2 (Pure White)
300019-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pure White)	B 2987 SJA	300019-0 / All New Tucson GLS GAS A/T 4X2 (Pure White)
300020-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Ara Blue)	B 2964 SJA	300020-0 / All New Tucson GLS GAS A/T 4X2 (Ara Blue)
300021-0	10/10/2019	Hyundai Santa FE GLS Gasoline A/T 4X2 (White Cream)	B 2971 SJA	300021-0 / Hyundai Santa FE GLS Gasoline A/T 4X2 (White Cream)
300022-0	10/10/2019	Hyundai Santa FE GLS Gasoline A/T 4X2 (Phantom Black)	B 2968 SJA	300022-0 / Hyundai Santa FE GLS Gasoline A/T 4X2 (Phantom Black)
300023-0	10/10/2019	Hyundai Santa FE GLS Gasoline A/T 4X2 (Magnetic Force)	B 2973 SJA	300023-0 / Hyundai Santa FE GLS Gasoline A/T 4X2 (Magnetic Force)
300024-0	10/10/2019	All New Tucson GLS GAS A/T 4X2 (Pepper Gray)	B 2977 SJA	300024-0 / All New Tucson GLS GAS A/T 4X2 (Pepper Gray)
300025-0	12/11/2019	Hyundai Santa FE GLS Gasoline A/T 4X2 (White Cream)	B 2307 SJB	300025-0 / Hyundai Santa FE GLS Gasoline A/T 4X2 (White Cream)
300026-0	19/12/2019	Wuling Almaz 1,5L T LUX+SC CVT (4x2) AT	B 1679 HM	300026-0 / Wuling Almaz 1,5L T LUX+SC CVT (4x2) AT
300027-0	26/12/2019	Hyundai Santa FE GLS Gasoline A/T 4X2 (Phantom Black)	B 2506 SJB	300027-0 / Hyundai Santa FE GLS Gasoline A/T 4X2 (Phantom Black)
300028-0	26/12/2019	Hyundai Santa FE GLS Gasoline A/T 4X2 (Magnetic Force)	B 2504 SJB	300028-0 / Hyundai Santa FE GLS Gasoline A/T 4X2 (Magnetic Force)
